FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6
Size [pixels]	1079	1094	1296	1013	742	328
Fo	69.71	67.22	76.13	52.83	70.68	39.76
Fo_gauss	69.71	67.22	76.13	52.83	70.68	39.76
Fo_median	54.63	50.86	59.61	40.34	56.58	27.39
Fm	558.60	548.62	586.80	449.62	552.46	364.44
Fv	488.89	481.40	510.66	396.78	481.78	324.68
Fp	595.81	570.33	618.65	488.67	590.19	379.53
Fp-median	537.51	510.88	555.28	434.80	533.90	333.41
Fp-gauss	739.29	707.97	764.87	629.05	733.68	504.60
Fp-average	650.06	625.04	675.01	539.08	644.52	427.91
Fm_L1	481.17	479.72	488.35	391.93	456.06	314.93
Fm_L2	337.01	315.24	325.23	288.96	292.66	217.73
Fm_L3	290.00	261.42	276.15	238.65	254.19	180.29
Fm_L4	253.75	219.57	231.57	209.60	216.47	159.71
Fm_Lss	232.16	197.27	205.37	194.08	195.31	152.66
Fm_D1	433.18	436.22	449.59	338.28	431.86	272.73
Fm_D2	448.31	448.61	466.05	358.86	445.87	295.24
Fm_D3	448.90	453.81	467.26	366.25	452.03	294.15
Ft_L1	486.00	473.75	504.37	401.00	471.26	313.12
Ft_L2	336.37	321.64	322.50	292.19	291.11	223.74
Ft_L3	278.72	258.45	266.95	234.98	245.13	185.17
Ft_L4	246.57	215.62	228.12	206.12	215.43	159.35
Ft_Lss	230.41	189.07	205.41	192.41	191.84	145.91
Ft_D1	90.21	84.49	93.87	66.58	94.87	52.99
Ft_D2	91.46	84.40	93.27	70.38	88.26	49.23
Ft_D3	88.37	82.77	92.30	71.97	89.60	51.62
Fo_L1	68.31	65.97	74.12	51.90	68.77	39.02
Fo_L2	64.14	61.31	68.51	49.32	63.08	36.78
Fo_L3	62.11	58.69	65.95	47.53	61.02	35.33
Fo_L4	60.09	56.02	62.78	46.07	58.25	34.38
Fo_Lss	58.75	54.14	60.42	45.20	56.57	34.02
Fo_D1	67.17	64.50	73.01	50.71	68.15	38.26
Fo_D2	67.56	64.86	73.45	51.18	68.49	38.72
Fo_D3	67.55	64.93	73.51	51.36	68.69	38.70
Fv_L1	412.86	413.74	414.23	340.04	387.29	275.90
Fv_L2	272.87	253.94	256.72	239.64	229.58	180.95
Fv_L3	227.89	202.72	210.20	191.13	193.18	144.96
Fv_L4	193.66	163.55	168.80	163.54	158.22	125.33
Fv_Lss	173.42	143.13	144.95	148.88	138.73	118.64
Fv_D1	366.01	371.72	376.58	287.57	363.71	234.46
Fv_D2	380.75	383.75	392.60	307.68	377.38	256.52
Fv_D3	381.35	388.88	393.75	314.88	383.34	255.45
Fq_L1	-4.84	5.96	-16.01	-9.06	-15.19	1.81
Fq_L2	0.64	-6.39	2.73	-3.22	1.55	-6.01
Fq_L3	11.28	2.97	9.20	3.68	9.06	-4.87
Fq_L4	7.18	3.95	3.45	3.48	1.04	0.36
Fq_Lss	1.75	8.20	-0.04	1.67	3.47	6.74
Fq_D1	342.97	351.73	355.72	271.70	336.99	219.73
Fq_D2	356.85	364.21	372.78	288.48	357.61	246.01
Fq_D3	360.54	371.04	374.96	294.28	362.43	242.53
QY_max	0.87	0.88	0.87	0.88	0.87	0.89
Fv/Fm_L1	0.86	0.86	0.85	0.87	0.85	0.87
Fv/Fm_L2	0.81	0.80	0.79	0.83	0.78	0.83
Fv/Fm_L3	0.78	0.77	0.76	0.80	0.76	0.80
Fv/Fm_L4	0.76	0.74	0.72	0.77	0.72	0.78
Fv/Fm_Lss	0.74	0.71	0.70	0.76	0.70	0.77
Fv/Fm_D1	0.84	0.84	0.83	0.85	0.84	0.86
Fv/Fm_D2	0.85	0.85	0.84	0.85	0.84	0.87
Fv/Fm_D3	0.85	0.85	0.84	0.86	0.85	0.87
QY_L1	-0.02	0.00	-0.04	-0.04	-0.04	-0.01
QY_L2	-0.02	-0.04	-0.01	-0.04	-0.02	-0.07
QY_L3	0.02	-0.02	0.01	-0.02	0.00	-0.09
QY_L4	0.00	-0.01	-0.02	-0.02	-0.04	-0.04
QY_Lss	-0.02	0.00	-0.04	-0.04	-0.02	-0.01
QY_D1	0.79	0.81	0.79	0.80	0.78	0.80
QY_D2	0.79	0.81	0.80	0.80	0.80	0.83
QY_D3	0.80	0.82	0.80	0.80	0.80	0.82
NPQ_L1	0.17	0.16	0.22	0.17	0.23	0.18
NPQ_L2	0.69	0.78	0.84	0.60	0.93	0.74
NPQ_L3	0.97	1.18	1.19	0.95	1.24	1.15
NPQ_L4	1.27	1.65	1.65	1.23	1.66	1.46
NPQ_Lss	1.48	2.08	2.06	1.43	1.97	1.54
NPQ_D1	0.31	0.39	0.37	0.36	0.31	0.37
NPQ_D2	0.27	0.34	0.31	0.28	0.27	0.27
NPQ_D3	0.27	0.34	0.31	0.26	0.25	0.27
qN_L1	0.15	0.14	0.18	0.13	0.19	0.14
qN_L2	0.44	0.47	0.49	0.39	0.52	0.44
qN_L3	0.54	0.58	0.59	0.52	0.60	0.55
