FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6
Size [pixels]	903	811	1001	655	551	251
Fo	57.73	65.97	79.94	44.35	37.53	36.66
Fo_gauss	57.73	65.97	79.94	44.35	37.53	36.66
Fo_median	43.40	51.01	62.72	31.63	25.99	25.70
Fm	471.75	536.43	599.51	362.08	310.89	316.53
Fv	414.02	470.46	519.57	317.72	273.36	279.87
Fp	494.57	566.19	629.55	400.54	353.79	336.47
Fp-median	446.99	508.67	561.43	347.29	304.92	292.49
Fp-gauss	615.08	708.68	776.51	542.66	488.88	460.37
Fp-average	541.38	621.92	686.82	452.85	401.56	387.65
Fm_L1	424.85	481.22	487.76	304.13	271.67	280.72
Fm_L2	314.94	373.48	329.93	231.29	183.67	210.37
Fm_L3	259.41	315.83	290.11	201.45	160.76	157.93
Fm_L4	230.80	276.44	254.49	183.18	142.58	130.37
Fm_Lss	218.06	262.53	234.66	171.42	138.08	123.74
Fm_D1	376.13	399.32	443.24	266.33	239.44	243.44
Fm_D2	402.43	431.18	467.49	285.90	255.45	246.83
Fm_D3	401.99	437.71	469.53	286.63	257.85	254.72
Ft_L1	415.71	471.70	511.28	322.28	268.74	287.55
Ft_L2	319.93	370.87	319.96	229.17	186.42	212.85
Ft_L3	250.18	309.36	280.52	194.53	161.08	158.89
Ft_L4	215.74	267.15	245.03	172.34	139.30	123.67
Ft_Lss	194.90	250.65	228.97	163.99	136.05	115.60
Ft_D1	71.48	79.07	94.52	52.86	45.75	44.46
Ft_D2	74.58	81.54	96.58	55.99	47.22	43.93
Ft_D3	71.09	81.80	95.37	53.92	46.46	44.48
Fo_L1	56.91	65.03	77.44	43.27	36.77	36.09
Fo_L2	54.18	62.47	71.71	41.16	34.25	34.44
Fo_L3	52.14	60.48	69.47	40.07	33.15	32.46
Fo_L4	50.78	58.80	67.03	39.07	32.30	30.84
Fo_Lss	50.07	58.04	65.47	38.39	31.98	30.39
Fo_D1	55.88	63.10	76.06	42.27	36.09	35.15
Fo_D2	56.46	63.87	76.85	42.84	36.46	35.28
Fo_D3	56.44	64.00	76.88	42.78	36.46	35.43
Fv_L1	367.94	416.19	410.32	260.85	234.90	244.64
Fv_L2	260.76	311.01	258.22	190.13	149.41	175.93
Fv_L3	207.27	255.35	220.65	161.38	127.61	125.47
Fv_L4	180.02	217.64	187.46	144.11	110.28	99.53
Fv_Lss	167.99	204.49	169.19	133.03	106.10	93.36
Fv_D1	320.25	336.22	367.18	224.06	203.35	208.29
Fv_D2	345.97	367.31	390.64	243.06	218.99	211.56
Fv_D3	345.55	373.70	392.65	243.85	221.39	219.29
Fq_L1	9.14	9.52	-23.52	-18.16	2.93	-6.83
Fq_L2	-4.99	2.61	9.97	2.12	-2.75	-2.48
Fq_L3	9.23	6.47	9.59	6.92	-0.33	-0.96
Fq_L4	15.06	9.29	9.46	10.83	3.28	6.70
Fq_Lss	23.16	11.88	5.69	7.43	2.03	8.15
Fq_D1	304.65	320.25	348.72	213.47	193.69	198.98
Fq_D2	327.85	349.64	370.91	229.91	208.22	202.91
Fq_D3	330.89	355.91	374.16	232.71	211.39	210.24
QY_max	0.88	0.88	0.87	0.88	0.88	0.88
Fv/Fm_L1	0.87	0.86	0.84	0.85	0.86	0.87
Fv/Fm_L2	0.83	0.83	0.78	0.82	0.81	0.83
Fv/Fm_L3	0.80	0.81	0.75	0.79	0.78	0.79
Fv/Fm_L4	0.78	0.78	0.73	0.78	0.76	0.75
Fv/Fm_Lss	0.77	0.77	0.71	0.77	0.76	0.74
Fv/Fm_D1	0.85	0.84	0.82	0.83	0.84	0.85
Fv/Fm_D2	0.86	0.85	0.83	0.85	0.85	0.85
Fv/Fm_D3	0.86	0.85	0.83	0.84	0.85	0.85
QY_L1	0.01	0.01	-0.06	-0.10	-0.02	-0.05
QY_L2	-0.03	-0.01	0.01	-0.03	-0.08	-0.06
QY_L3	0.02	0.00	0.00	-0.01	-0.08	-0.05
QY_L4	0.04	0.01	0.01	-0.00	-0.04	0.00
QY_Lss	0.09	0.02	-0.02	-0.01	-0.06	0.02
QY_D1	0.81	0.80	0.79	0.80	0.80	0.81
QY_D2	0.81	0.81	0.79	0.80	0.81	0.82
QY_D3	0.82	0.81	0.80	0.80	0.81	0.82
NPQ_L1	0.12	0.13	0.26	0.25	0.19	0.16
NPQ_L2	0.52	0.46	0.87	0.65	0.80	0.59
NPQ_L3	0.85	0.74	1.16	0.91	1.10	1.12
NPQ_L4	1.10	1.00	1.49	1.15	1.34	1.56
NPQ_Lss	1.23	1.15	1.82	1.28	1.46	1.80
NPQ_D1	0.28	0.39	0.42	0.45	0.37	0.40
NPQ_D2	0.19	0.31	0.34	0.34	0.28	0.35
NPQ_D3	0.20	0.29	0.34	0.34	0.27	0.33
qN_L1	0.10	0.11	0.21	0.16	0.12	0.12
qN_L2	0.37	0.34	0.51	0.39	0.44	0.37
qN_L3	0.50	0.46	0.58	0.49	0.53	0.55
qN_L4	0.57	0.54	0.65	0.55	0.59	0.65
qN_Lss	0.60	0.57	0.68	0.58	0.61	0.67
qN_D1	0.22	0.29	0.30	0.29	0.24	0.25
qN_D2	0.16	0.22	0.25	0.22	0.18	0.24
qN_D3	0.16	0.21	0.25	0.22	0.17	0.21
qP_L1	0.01	0.01	-0.08	-0.12	-0.03	-0.06
qP_L2	-0.05	-0.01	0.00	-0.05	-0.11	-0.08
qP_L3	0.02	-0.00	-0.01	-0.02	-0.14	-0.08
qP_L4	0.05	0.01	-0.01	-0.02	-0.07	-0.02
qP_Lss	0.11	-0.00	-0.12	-0.04	-0.12	-0.01
qP_D1	0.95	0.96	0.96	0.95	0.95	0.96
qP_D2	0.95	0.96	0.95	0.94	0.95	0.97
qP_D3	0.96	0.96	0.96	0.96	0.96	0.96
qL_L1	-0.04	-0.08	-0.83	-1.47	-0.84	-0.94
qL_L2	-0.53	-0.26	-0.38	-0.91	-1.44	-1.33
qL_L3	-0.14	-0.26	-0.26	-0.84	-1.78	-1.28
qL_L4	-0.06	-0.26	-0.34	-0.82	-1.29	-0.98
qL_Lss	0.11	-0.49	-1.30	-1.38	-1.76	-0.94
qL_D1	1.23	1.18	1.16	1.18	1.22	1.24
qL_D2	1.26	1.21	1.18	1.23	1.23	1.24
qL_D3	1.21	1.21	1.15	1.22	1.22	1.25
Rfd_L1	0.21	0.23	0.28	0.32	0.41	0.22
Rfd_L2	0.58	0.82	1.09	0.98	1.13	0.68
Rfd_L3	1.09	1.03	1.39	1.35	1.53	1.37
Rfd_L4	1.42	1.36	1.91	1.72	2.17	2.59
Rfd_Lss	1.75	1.45	2.17	2.24	2.29	2.59
