FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5
Size [pixels]	1873	1022	771	935	277
Fo	77.30	75.24	81.26	53.50	67.47
Fo_gauss	77.30	75.24	81.26	53.50	67.47
Fo_median	61.85	59.03	64.38	40.65	51.20
Fm	611.07	595.58	631.26	448.36	526.28
Fv	533.77	520.34	550.00	394.87	458.81
Fp	645.51	628.78	663.15	479.75	562.16
Fp-median	586.63	567.48	596.91	427.42	504.47
Fp-gauss	785.73	774.63	813.40	613.22	712.40
Fp-average	697.82	687.26	722.06	530.37	626.12
Fm_L1	536.76	523.34	543.05	398.07	480.31
Fm_L2	369.30	382.54	376.68	275.67	366.79
Fm_L3	298.82	326.34	291.28	232.84	278.20
Fm_L4	262.34	282.66	241.51	199.35	214.05
Fm_Lss	244.83	264.85	216.52	184.80	196.05
Fm_D1	484.73	456.23	450.01	344.21	410.47
Fm_D2	501.32	475.07	478.17	351.07	440.21
Fm_D3	504.54	478.80	480.93	358.79	446.13
Ft_L1	543.60	533.88	556.82	391.65	483.46
Ft_L2	373.38	383.91	379.35	280.90	372.51
Ft_L3	295.71	321.43	283.54	231.03	266.42
Ft_L4	262.13	276.14	241.60	197.15	207.61
Ft_Lss	237.31	255.80	216.37	178.71	186.71
Ft_D1	99.42	99.25	102.21	66.01	95.40
Ft_D2	98.98	98.37	99.27	66.72	88.08
Ft_D3	97.60	96.90	99.72	65.48	91.39
Fo_L1	75.92	73.90	79.52	52.68	66.61
Fo_L2	71.10	70.05	74.50	49.50	63.62
Fo_L3	67.88	67.84	70.16	47.77	60.00
Fo_L4	65.66	65.56	66.40	45.97	56.09
Fo_Lss	64.35	64.52	63.96	45.04	54.70
Fo_D1	74.68	72.31	76.23	51.29	64.92
Fo_D2	75.08	72.78	77.08	51.37	65.73
Fo_D3	75.16	72.84	77.12	51.53	65.85
Fv_L1	460.84	449.44	463.53	345.39	413.70
Fv_L2	298.20	312.50	302.19	226.17	303.17
Fv_L3	230.94	258.49	221.12	185.07	218.20
Fv_L4	196.68	217.09	175.11	153.38	157.96
Fv_Lss	180.48	200.33	152.56	139.76	141.34
Fv_D1	410.05	383.92	373.78	292.92	345.55
Fv_D2	426.24	402.29	401.09	299.70	374.47
Fv_D3	429.39	405.95	403.81	307.27	380.28
Fq_L1	-6.84	-10.53	-13.77	6.43	-3.15
Fq_L2	-4.07	-1.36	-2.66	-5.22	-5.72
Fq_L3	3.11	4.91	7.74	1.81	11.78
Fq_L4	0.21	6.52	-0.09	2.19	6.43
Fq_Lss	7.52	9.04	0.15	6.09	9.33
Fq_D1	385.30	356.98	347.80	278.20	315.07
Fq_D2	402.34	376.70	378.90	284.35	352.13
Fq_D3	406.94	381.90	381.20	293.31	354.74
QY_max	0.87	0.87	0.87	0.88	0.87
Fv/Fm_L1	0.86	0.86	0.85	0.87	0.86
Fv/Fm_L2	0.81	0.82	0.80	0.82	0.82
Fv/Fm_L3	0.77	0.79	0.75	0.79	0.78
Fv/Fm_L4	0.75	0.76	0.71	0.76	0.73
Fv/Fm_Lss	0.73	0.75	0.68	0.74	0.72
Fv/Fm_D1	0.84	0.84	0.81	0.84	0.84
Fv/Fm_D2	0.85	0.84	0.82	0.84	0.85
Fv/Fm_D3	0.85	0.85	0.82	0.84	0.85
QY_L1	-0.02	-0.03	-0.04	0.00	-0.02
QY_L2	-0.03	-0.02	-0.02	-0.05	-0.04
QY_L3	-0.01	-0.00	0.01	-0.03	0.01
QY_L4	-0.02	-0.00	-0.03	-0.05	-0.00
QY_Lss	0.01	0.02	-0.04	-0.00	0.01
QY_D1	0.80	0.78	0.77	0.81	0.77
QY_D2	0.80	0.79	0.79	0.81	0.80
QY_D3	0.81	0.80	0.78	0.81	0.80
NPQ_L1	0.15	0.15	0.20	0.15	0.11
NPQ_L2	0.69	0.58	0.72	0.68	0.46
NPQ_L3	1.09	0.86	1.26	1.03	0.94
NPQ_L4	1.42	1.16	1.92	1.48	1.53
NPQ_Lss	1.64	1.32	2.59	1.68	1.78
NPQ_D1	0.31	0.34	0.80	0.49	0.30
NPQ_D2	0.26	0.29	0.71	0.54	0.21
NPQ_D3	0.25	0.28	0.71	0.61	0.19
qN_L1	0.13	0.13	0.15	0.12	0.09
qN_L2	0.44	0.40	0.45	0.43	0.33
qN_L3	0.57	0.51	0.60	0.53	0.52
qN_L4	0.64	0.59	0.69	0.62	0.66
qN_Lss	0.67	0.62	0.73	0.65	0.69
qN_D1	0.23	0.26	0.32	0.26	0.24
qN_D2	0.20	0.23	0.27	0.24	0.18
qN_D3	0.19	0.22	0.27	0.22	0.16
qP_L1	-0.03	-0.04	-0.05	0.00	-0.03
qP_L2	-0.04	-0.03	-0.03	-0.07	-0.05
qP_L3	-0.01	-0.01	0.00	-0.05	0.00
qP_L4	-0.04	-0.01	-0.07	-0.16	-0.02
qP_Lss	-0.00	0.01	-0.15	-0.02	-0.00
qP_D1	0.94	0.93	0.95	0.96	0.91
qP_D2	0.95	0.94	0.98	0.97	0.94
qP_D3	0.95	0.94	0.96	0.95	0.94
qL_L1	-0.33	-0.38	-0.59	-0.18	-0.39
qL_L2	-0.40	-0.31	-0.38	-0.74	-0.55
qL_L3	-0.30	-0.27	-0.24	-0.69	-0.30
qL_L4	-0.45	-0.28	-0.66	-1.69	-0.40
qL_Lss	-0.29	-0.22	-1.29	-0.63	-0.44
qL_D1	1.24	1.26	1.20	1.20	1.33
qL_D2	1.24	1.26	1.18	1.20	1.26
qL_D3	1.23	1.24	1.15	1.15	1.30
Rfd_L1	0.21	0.20	0.23	0.27	0.19
Rfd_L2	0.78	0.68	0.82	0.77	0.55
Rfd_L3	1.28	1.02	1.55	1.22	1.21
Rfd_L4	1.64	1.36	2.29	1.72	1.87
Rfd_Lss	2.05	1.61	3.05	2.94	2.27
