FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8
Size [pixels]	1551	1323	876	2080	1216	1118	773	562
Fo	57.04	71.05	107.13	69.64	32.94	51.60	36.59	37.54
Fo_gauss	57.04	71.05	107.13	69.64	32.94	51.60	36.59	37.54
Fo_median	43.75	55.02	85.42	54.78	22.47	38.44	25.74	26.62
Fm	476.94	588.76	775.24	581.94	303.69	427.24	338.69	340.73
Fv	419.91	517.71	668.11	512.30	270.74	375.64	302.10	303.18
Fp	492.35	604.10	808.55	606.81	332.09	456.64	357.25	361.19
Fp-median	444.55	538.04	717.51	546.39	288.62	405.45	313.73	316.63
Fp-gauss	614.33	752.96	972.60	753.91	442.85	589.95	477.99	478.41
Fp-average	538.81	663.06	874.89	663.06	375.27	508.96	403.07	407.91
Fm_L1	420.09	490.63	665.08	480.44	267.00	380.55	293.91	300.20
Fm_L2	280.71	335.62	419.82	321.02	191.88	248.59	214.00	222.10
Fm_L3	234.02	282.71	367.75	269.92	159.47	203.92	173.96	185.42
Fm_L4	194.77	241.95	307.07	225.57	126.08	170.20	150.47	162.67
Fm_Lss	176.48	217.81	279.16	203.39	113.66	153.92	134.06	148.29
Fm_D1	387.54	437.49	607.03	426.31	240.91	351.24	268.26	280.59
Fm_D2	399.69	460.72	652.48	450.45	249.56	360.18	275.42	292.79
Fm_D3	403.68	465.11	662.30	450.82	251.35	363.35	278.63	293.37
Ft_L1	402.48	498.18	666.05	492.91	259.11	373.09	293.11	300.22
Ft_L2	280.56	331.18	415.26	315.65	185.73	251.37	220.18	224.43
Ft_L3	222.89	274.99	343.76	257.63	143.63	206.15	173.39	180.17
Ft_L4	177.63	232.70	290.72	219.17	106.68	168.56	143.96	152.91
Ft_Lss	149.35	209.32	263.30	196.45	87.59	144.85	120.42	136.77
Ft_D1	69.00	88.47	130.46	83.25	38.60	63.87	45.99	48.36
Ft_D2	71.05	87.51	131.38	85.45	41.85	63.77	46.22	46.90
Ft_D3	68.96	88.55	133.70	82.25	39.80	64.12	47.31	47.71
Fo_L1	55.98	69.26	104.66	67.82	32.33	50.82	35.91	36.88
Fo_L2	52.15	64.76	95.48	63.10	30.64	47.13	34.17	35.20
Fo_L3	50.13	62.38	92.47	60.65	29.46	45.04	32.79	33.98
Fo_L4	47.92	59.94	87.93	57.85	27.91	42.96	31.69	33.03
Fo_Lss	46.54	58.24	85.37	56.13	27.16	41.73	30.70	32.31
Fo_D1	55.21	68.02	103.07	66.42	31.79	50.16	35.46	36.54
Fo_D2	55.50	68.59	104.37	67.01	31.95	50.37	35.56	36.72
Fo_D3	55.61	68.68	104.63	66.97	32.01	50.41	35.66	36.73
Fv_L1	364.11	421.36	560.41	412.62	234.67	329.73	258.00	263.32
Fv_L2	228.56	270.86	324.33	257.92	161.24	201.45	179.83	186.90
Fv_L3	183.89	220.33	275.28	209.27	130.01	158.87	141.17	151.44
Fv_L4	146.86	182.01	219.15	167.72	98.18	127.24	118.78	129.64
Fv_Lss	129.94	159.58	193.79	147.26	86.49	112.19	103.36	115.98
Fv_D1	332.34	369.47	503.96	359.89	209.12	301.07	232.80	244.06
Fv_D2	344.19	392.13	548.11	383.45	217.61	309.81	239.86	256.07
Fv_D3	348.07	396.43	557.68	383.85	219.34	312.94	242.97	256.64
Fq_L1	17.61	-7.55	-0.97	-12.47	7.89	7.46	0.80	-0.02
Fq_L2	0.14	4.44	4.56	5.37	6.14	-2.79	-6.17	-2.33
Fq_L3	11.13	7.72	23.99	12.29	15.83	-2.23	0.57	5.24
Fq_L4	17.14	9.25	16.36	6.40	19.40	1.64	6.51	9.76
Fq_Lss	27.13	8.49	15.86	6.94	26.06	9.07	13.64	11.52
Fq_D1	318.54	349.02	476.57	343.06	202.31	287.37	222.27	232.23
Fq_D2	328.64	373.21	521.09	365.00	207.72	296.41	229.21	245.88
Fq_D3	334.72	376.56	528.60	368.57	211.54	299.22	231.32	245.66
QY_max	0.88	0.88	0.86	0.88	0.89	0.88	0.89	0.89
Fv/Fm_L1	0.86	0.86	0.84	0.86	0.87	0.87	0.88	0.87
Fv/Fm_L2	0.81	0.80	0.77	0.80	0.83	0.81	0.84	0.84
Fv/Fm_L3	0.78	0.78	0.75	0.77	0.80	0.77	0.80	0.81
Fv/Fm_L4	0.74	0.75	0.71	0.74	0.76	0.74	0.78	0.79
Fv/Fm_Lss	0.73	0.73	0.69	0.71	0.75	0.72	0.76	0.77
Fv/Fm_D1	0.85	0.84	0.83	0.84	0.86	0.86	0.86	0.87
Fv/Fm_D2	0.86	0.85	0.84	0.84	0.87	0.86	0.87	0.87
Fv/Fm_D3	0.86	0.85	0.84	0.84	0.87	0.86	0.87	0.87
QY_L1	0.03	-0.03	-0.01	-0.04	0.00	-0.00	-0.02	-0.02
QY_L2	-0.02	-0.01	0.00	-0.00	-0.01	-0.04	-0.07	-0.04
QY_L3	0.02	0.00	0.05	0.02	0.06	-0.05	-0.07	-0.01
QY_L4	0.05	0.01	0.02	-0.01	0.10	-0.04	-0.02	0.03
QY_Lss	0.12	0.00	0.04	-0.01	0.17	0.01	0.05	0.03
QY_D1	0.82	0.80	0.79	0.80	0.83	0.82	0.82	0.83
QY_D2	0.82	0.81	0.80	0.81	0.83	0.82	0.83	0.84
QY_D3	0.83	0.81	0.80	0.82	0.84	0.82	0.83	0.83
NPQ_L1	0.18	0.23	0.18	0.24	0.19	0.15	0.19	0.17
NPQ_L2	0.79	0.82	0.86	0.86	0.70	0.78	0.66	0.61
NPQ_L3	1.17	1.16	1.15	1.24	1.05	1.19	1.08	0.93
NPQ_L4	1.66	1.53	1.63	1.74	1.65	1.68	1.43	1.22
NPQ_Lss	1.96	1.83	1.86	2.09	1.94	1.97	1.75	1.47
NPQ_D1	0.30	0.39	0.32	0.46	0.36	0.26	0.32	0.26
NPQ_D2	0.27	0.32	0.23	0.39	0.30	0.22	0.30	0.21
NPQ_D3	0.25	0.31	0.20	0.40	0.28	0.22	0.27	0.21
qN_L1	0.13	0.18	0.16	0.19	0.12	0.11	0.13	0.12
